SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630699,0022201221,"APR 09, 2023",MIL @ TOR,L,30,4,10,0.4,2,5,0.4,0,0,0.0,0,6,6,4,0,0,2,2,10,6,1
22022,1630699,0022201208,"APR 07, 2023",MIL vs. MEM,L,43,3,12,0.25,3,8,0.375,4,4,1.0,1,5,6,4,2,2,3,2,13,-18,1
22022,1630699,0022201193,"APR 05, 2023",MIL vs. CHI,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1
22022,1630699,0022201179,"APR 04, 2023",MIL @ WAS,W,13,2,4,0.5,1,3,0.333,0,0,0.0,1,0,1,0,0,0,0,3,5,-8,1
22022,1630699,0022201174,"APR 02, 2023",MIL vs. PHI,W,1,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,-6,1
22022,1630699,0022201146,"MAR 30, 2023",MIL vs. BOS,L,10,1,3,0.333,1,2,0.5,0,0,0.0,1,2,3,0,1,0,1,1,3,1,1
22022,1630699,0022201136,"MAR 29, 2023",MIL @ IND,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,2,0,0,-6,1
22022,1630699,0022201109,"MAR 25, 2023",MIL @ DEN,L,6,2,2,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,5,-3,1
22022,1630699,0022201102,"MAR 24, 2023",MIL @ UTA,W,10,2,4,0.5,0,2,0.0,0,0,0.0,0,2,2,1,0,0,0,2,4,-3,1
22022,1630699,0022201089,"MAR 22, 2023",MIL vs. SAS,W,6,2,2,1.0,1,1,1.0,2,4,0.5,0,2,2,0,0,0,0,0,7,11,1
22022,1630699,0022201045,"MAR 16, 2023",MIL vs. IND,L,2,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
22022,1630699,0022200939,"MAR 01, 2023",MIL vs. ORL,W,5,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1
22022,1630699,0022200924,"FEB 28, 2023",MIL @ BKN,W,4,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1,1
22022,1630699,0022200897,"FEB 24, 2023",MIL vs. MIA,W,5,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,-6,1
22022,1630699,0022200883,"FEB 16, 2023",MIL @ CHI,W,22,0,3,0.0,0,1,0.0,2,2,1.0,2,2,4,1,1,1,0,1,2,-8,1
22022,1630699,0022200845,"FEB 10, 2023",MIL @ LAC,W,16,4,7,0.571,1,3,0.333,1,2,0.5,0,0,0,2,2,1,0,1,10,-6,1
22022,1630699,0022200834,"FEB 09, 2023",MIL @ LAL,W,5,1,4,0.25,1,4,0.25,0,0,0.0,0,1,1,0,0,0,2,2,3,-8,1
22022,1630699,0022200815,"FEB 06, 2023",MIL @ POR,W,13,2,4,0.5,1,3,0.333,0,0,0.0,0,4,4,0,0,0,1,2,5,-5,1
22022,1630699,0022200755,"JAN 29, 2023",MIL vs. NOP,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1
22022,1630699,0022200706,"JAN 23, 2023",MIL @ DET,W,8,3,6,0.5,1,2,0.5,0,0,0.0,0,0,0,1,0,0,1,1,7,-11,1
22022,1630699,0022200641,"JAN 14, 2023",MIL @ MIA,L,10,0,4,0.0,0,3,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,4,1
22022,1630699,0022200628,"JAN 12, 2023",MIL @ MIA,L,18,0,3,0.0,0,2,0.0,0,0,0.0,1,1,2,0,1,0,2,1,0,-5,1
22022,1630699,0022200620,"JAN 11, 2023",MIL @ ATL,W,21,3,9,0.333,2,7,0.286,0,0,0.0,0,1,1,4,0,0,0,0,8,7,1
22022,1630699,0022200607,"JAN 09, 2023",MIL @ NYK,W,11,3,6,0.5,2,4,0.5,0,0,0.0,2,3,5,1,0,0,0,3,8,5,1
22022,1630699,0022200583,"JAN 06, 2023",MIL vs. CHA,L,23,2,6,0.333,0,3,0.0,2,2,1.0,0,2,2,2,0,0,1,2,6,-14,1
22022,1630699,0022200569,"JAN 04, 2023",MIL @ TOR,W,22,4,6,0.667,2,3,0.667,0,0,0.0,2,2,4,2,0,0,3,3,10,-7,1
22022,1630699,0022200561,"JAN 03, 2023",MIL vs. WAS,W,16,2,4,0.5,0,0,0.0,0,0,0.0,2,0,2,1,1,0,0,1,4,8,1
22022,1630699,0022200548,"JAN 01, 2023",MIL vs. WAS,L,25,4,12,0.333,2,9,0.222,1,2,0.5,3,1,4,0,1,0,2,2,11,-14,1
22022,1630699,0022200533,"DEC 30, 2022",MIL vs. MIN,W,15,2,6,0.333,0,3,0.0,1,2,0.5,1,1,2,1,1,0,1,3,5,4,1
22022,1630699,0022200519,"DEC 28, 2022",MIL @ CHI,L,2,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-7,1
22022,1630699,0022200495,"DEC 25, 2022",MIL @ BOS,L,4,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,0,5,-2,1
22022,1630699,0022200483,"DEC 23, 2022",MIL @ BKN,L,15,2,6,0.333,2,5,0.4,0,0,0.0,0,0,0,0,0,0,0,2,6,4,1
22022,1630699,0022200466,"DEC 21, 2022",MIL @ CLE,L,20,4,7,0.571,3,5,0.6,0,0,0.0,1,0,1,0,0,0,1,4,11,0,1
22022,1630699,0022200457,"DEC 19, 2022",MIL @ NOP,W,16,2,4,0.5,2,4,0.5,0,0,0.0,0,3,3,1,1,0,2,0,6,6,1
22022,1630699,0022200442,"DEC 17, 2022",MIL vs. UTA,W,19,5,9,0.556,4,7,0.571,4,4,1.0,0,3,3,2,1,0,1,3,18,17,1
22022,1630699,0022200425,"DEC 15, 2022",MIL @ MEM,L,22,4,9,0.444,1,6,0.167,3,5,0.6,2,1,3,2,2,0,0,1,12,-8,1
22022,1630699,0022200410,"DEC 13, 2022",MIL vs. GSW,W,5,1,4,0.25,1,1,1.0,0,0,0.0,2,1,3,0,0,0,1,1,3,-4,1
22022,1630699,0022200298,"NOV 27, 2022",MIL vs. DAL,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-5,1
22022,1630699,0022200280,"NOV 25, 2022",MIL vs. CLE,W,3,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,2,-7,1
22022,1630699,0022200251,"NOV 21, 2022",MIL vs. POR,W,5,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,1,0,-9,1
22022,1630699,0022200226,"NOV 18, 2022",MIL @ PHI,L,15,0,3,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,1,1,0,-4,1
22022,1630699,0022200216,"NOV 16, 2022",MIL vs. CLE,W,27,1,8,0.125,0,3,0.0,0,0,0.0,4,1,5,1,0,0,2,2,2,7,1
22022,1630699,0022200204,"NOV 14, 2022",MIL vs. ATL,L,34,7,9,0.778,3,4,0.75,3,3,1.0,2,6,8,1,0,1,2,2,20,-14,1
22022,1630699,0022200180,"NOV 11, 2022",MIL @ SAS,L,34,4,13,0.308,0,6,0.0,0,0,0.0,1,3,4,2,1,0,0,2,8,-24,1
22022,1630699,0022200168,"NOV 09, 2022",MIL @ OKC,W,30,7,13,0.538,5,8,0.625,0,0,0.0,3,5,8,0,2,0,2,5,19,14,1
22022,1630699,0022200149,"NOV 07, 2022",MIL @ ATL,L,11,1,4,0.25,1,4,0.25,1,2,0.5,0,2,2,0,0,0,0,1,4,4,1
22022,1630699,0022200136,"NOV 05, 2022",MIL vs. OKC,W,25,1,9,0.111,0,6,0.0,0,0,0.0,3,2,5,0,1,0,2,6,2,12,1
22022,1630699,0022200129,"NOV 04, 2022",MIL @ MIN,W,18,6,10,0.6,2,4,0.5,0,1,0.0,0,5,5,0,0,0,2,2,14,2,1
22022,1630699,0022200113,"NOV 02, 2022",MIL vs. DET,W,16,0,3,0.0,0,3,0.0,3,4,0.75,1,3,4,1,2,0,2,2,3,12,1
22022,1630699,0022200100,"OCT 31, 2022",MIL vs. DET,W,4,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,1,0,0,0,-3,1
22022,1630699,0022200085,"OCT 29, 2022",MIL vs. ATL,W,7,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,2,1,3,1,1
22022,1630699,0022200033,"OCT 22, 2022",MIL vs. HOU,W,2,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-2,1
22023,1630699,0022301191,"APR 14, 2024",MIL @ ORL,L,7,3,5,0.6,1,1,1.0,0,0,0.0,0,1,1,0,1,0,0,1,7,0,1
22023,1630699,0022301179,"APR 12, 2024",MIL @ OKC,L,8,3,4,0.75,1,2,0.5,0,0,0.0,0,2,2,1,0,1,0,0,7,-1,1
22023,1630699,0022301030,"MAR 24, 2024",MIL vs. OKC,W,4,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,4,1
22023,1630699,0022300899,"MAR 06, 2024",MIL @ GSW,L,4,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-9,1
22023,1630699,0022300864,"MAR 01, 2024",MIL @ CHI,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2,1
22023,1630699,0022300849,"FEB 29, 2024",MIL @ CHA,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-7,1
22023,1630699,0022300840,"FEB 27, 2024",MIL vs. CHA,W,9,3,3,1.0,1,1,1.0,0,0,0.0,0,3,3,1,0,0,0,0,7,-8,1
22023,1630699,0022300817,"FEB 25, 2024",MIL @ PHI,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,1
22023,1630699,0022300773,"FEB 13, 2024",MIL vs. MIA,L,8,2,4,0.5,1,2,0.5,3,4,0.75,1,1,2,0,1,0,2,1,8,3,1
22023,1630699,0022300767,"FEB 12, 2024",MIL vs. DEN,W,6,1,2,0.5,1,2,0.5,0,0,0.0,1,1,2,0,0,0,1,1,3,-3,1
22023,1630699,0022300745,"FEB 09, 2024",MIL vs. CHA,W,8,0,2,0.0,0,1,0.0,4,4,1.0,0,3,3,0,0,0,0,2,4,-4,1
22023,1630699,0022300738,"FEB 08, 2024",MIL vs. MIN,L,5,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,-1,1
22023,1630699,0022300711,"FEB 04, 2024",MIL @ UTA,L,1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1
22023,1630699,0022300648,"JAN 27, 2024",MIL vs. NOP,W,6,3,3,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,6,-4,1
22023,1630699,0022300572,"JAN 17, 2024",MIL @ CLE,L,23,0,3,0.0,0,0,0.0,0,0,0.0,1,2,3,2,0,0,1,1,0,-12,1
22023,1630699,0022300528,"JAN 11, 2024",MIL vs. BOS,W,12,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,1,1,0,0,-8,1
22023,1630699,0022300510,"JAN 08, 2024",MIL vs. UTA,L,14,1,6,0.167,1,4,0.25,0,0,0.0,0,2,2,3,2,0,0,1,3,4,1
22023,1630699,0022300496,"JAN 06, 2024",MIL @ HOU,L,23,2,4,0.5,1,3,0.333,0,0,0.0,1,3,4,3,0,1,1,1,5,2,1
22023,1630699,0022300477,"JAN 04, 2024",MIL @ SAS,W,17,3,8,0.375,2,4,0.5,0,0,0.0,2,1,3,0,0,0,1,1,8,-7,1
22023,1630699,0022300466,"JAN 03, 2024",MIL @ IND,L,21,6,9,0.667,0,3,0.0,0,0,0.0,1,2,3,1,0,0,1,1,12,-1,1
22023,1630699,0022300433,"DEC 29, 2023",MIL @ CLE,W,11,2,3,0.667,1,2,0.5,0,0,0.0,1,0,1,0,0,0,0,2,5,1,1
22023,1630699,0022300417,"DEC 27, 2023",MIL @ BKN,W,21,4,6,0.667,2,3,0.667,1,2,0.5,0,5,5,2,1,0,0,2,11,21,1
22023,1630699,0022300401,"DEC 25, 2023",MIL @ NYK,L,6,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,4,1
22023,1630699,0022300388,"DEC 23, 2023",MIL @ NYK,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,1
22023,1630699,0022300378,"DEC 21, 2023",MIL vs. ORL,W,11,2,3,0.667,1,2,0.5,0,0,0.0,0,3,3,0,0,0,2,2,5,-4,1
22023,1630699,0022300361,"DEC 19, 2023",MIL vs. SAS,W,6,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-6,1
22023,1630699,0022300346,"DEC 17, 2023",MIL vs. HOU,W,13,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,2,1
22023,1630699,0022300334,"DEC 16, 2023",MIL vs. DET,W,33,4,8,0.5,1,2,0.5,2,2,1.0,1,5,6,1,2,0,3,0,11,12,1
22023,1630699,0022300315,"DEC 13, 2023",MIL vs. IND,W,15,3,4,0.75,0,0,0.0,0,0,0.0,0,3,3,0,0,0,3,2,6,-3,1
22023,1630699,0022300300,"DEC 11, 2023",MIL vs. CHI,W,14,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,6,1
22023,1630699,0022301229,"DEC 07, 2023",MIL vs. IND,L,15,2,3,0.667,0,0,0.0,1,4,0.25,3,3,6,0,0,1,0,0,5,-17,1
22023,1630699,0022301201,"DEC 05, 2023",MIL vs. NYK,W,19,2,3,0.667,2,2,1.0,0,0,0.0,0,2,2,1,1,0,0,1,6,9,1
22023,1630699,0022300286,"DEC 02, 2023",MIL vs. ATL,W,17,1,2,0.5,1,1,1.0,0,0,0.0,0,1,1,2,0,1,0,3,3,14,1
22023,1630699,0022300269,"NOV 30, 2023",MIL @ CHI,L,22,3,7,0.429,1,4,0.25,0,0,0.0,0,3,3,0,0,0,2,1,7,11,1
22023,1630699,0022300056,"NOV 28, 2023",MIL @ MIA,W,9,0,2,0.0,0,0,0.0,0,0,0.0,1,3,4,1,0,0,1,4,0,0,1
22023,1630699,0022300245,"NOV 26, 2023",MIL vs. POR,W,9,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,1,1,2,0,-1,1
22023,1630699,0022300049,"NOV 24, 2023",MIL vs. WAS,W,13,0,4,0.0,0,2,0.0,3,4,0.75,0,3,3,2,0,0,0,2,3,8,1
22023,1630699,0022300228,"NOV 22, 2023",MIL @ BOS,L,22,2,5,0.4,1,2,0.5,0,0,0.0,1,2,3,0,1,0,0,1,5,-7,1
22023,1630699,0022300195,"NOV 15, 2023",MIL @ TOR,W,10,2,3,0.667,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,2,4,2,1
22023,1630699,0022300190,"NOV 13, 2023",MIL vs. CHI,W,20,3,7,0.429,2,4,0.5,0,0,0.0,1,4,5,2,1,1,1,1,8,7,1
22023,1630699,0022300173,"NOV 11, 2023",MIL @ ORL,L,20,2,7,0.286,0,2,0.0,1,3,0.333,1,3,4,0,0,0,3,2,5,-19,1
